,item,itemLabel,itemDescription,drugs,drugsLabel
716,http://www.wikidata.org/entity/Q17155571,Young–Madders syndrome,"Holoprosencephaly-postaxial polydactyly syndrome associates, in chromosomally normal neonates, holoprosencephaly, severe facial dysmorphism, postaxial polydactyly and other congenital abnormalities, suggestive of trisomy 13 (see this term)",,
717,http://www.wikidata.org/entity/Q48969022,ZTTK syndrome,human disease,,
718,http://www.wikidata.org/entity/Q167868,Zamzam–Sheriff–Phillips syndrome,medical condition,,
719,http://www.wikidata.org/entity/Q8066470,Zapoy,Russian term for alcohol abuse,,
720,http://www.wikidata.org/entity/Q22978786,Zechi-Ceide Syndrome,rare disease,,
721,http://www.wikidata.org/entity/Q55788386,Zellweger-like syndrome without peroxisomal anomalies,,,
722,http://www.wikidata.org/entity/Q199295,Zieve's syndrome,medical condition,,
723,http://www.wikidata.org/entity/Q8072143,Zimmermann–Laband syndrome,"rare disorder characterized by gingival fibromatosis, coarse facial appearance, and absence or hypoplasia of nails or terminal phalanges of hands and feet",,
724,http://www.wikidata.org/entity/Q8074613,Zou huo ru mo,chinese-culture concept,,
725,http://www.wikidata.org/entity/Q2849709,abandonment anxiety,,,
726,http://www.wikidata.org/entity/Q520720,abasiophilia,,,
727,http://www.wikidata.org/entity/Q319812,abetalipoproteinemia,Human disease,,
728,http://www.wikidata.org/entity/Q335941,aboulia,"absence of willpower or decisiveness, especially as a symptom of mental disorder",,
729,http://www.wikidata.org/entity/Q4668562,aboulomania,behavioural disorder,,
730,http://www.wikidata.org/entity/Q1425065,absent-mindedness,inattentive or forgetful behavior,,
731,http://www.wikidata.org/entity/Q2258219,abuse of medicaments,repeated and inappropriate use of medicaments and/or folk remedies,,
732,http://www.wikidata.org/entity/Q2822642,acarophobia,fear of mites,,
733,http://www.wikidata.org/entity/Q337604,aceruloplasminemia,adult-onset disorder of neurodegeneration with brain iron accumulation,,
734,http://www.wikidata.org/entity/Q55788087,acitretin/etretinate embryopathy,,,
735,http://www.wikidata.org/entity/Q420339,acoasma,non verbal auditory hallucination,,
736,http://www.wikidata.org/entity/Q56333285,acousticophilia,a paraphilia in which gratification is derived from auditory stimulus,,
737,http://www.wikidata.org/entity/Q55346057,acquired Creutzfeldt-Jakob disease,human disease,,
738,http://www.wikidata.org/entity/Q55787932,acquired kinky hair syndrome,,,
739,http://www.wikidata.org/entity/Q4675304,acrocallosal syndrome,"syndrome that is an autosomal recessive disorder, which is characterized by corpus callosum agenesis, polydactyly, multiple dysmorphic features, motor and mental retardation",,
740,http://www.wikidata.org/entity/Q55782856,acrocardiofacial syndrome,"Acro-cardio-facial syndrome (ACFS) is a rare genetic disorder characterized by split-hand/split-foot malformation (SHFM), facial anomalies, cleft lip/palate, congenital heart defect (CHD), genital anomalies, and intellectual deficit",,
741,http://www.wikidata.org/entity/Q21154051,acrofacial dysostosis Rodriguez type,Human disease,,
742,http://www.wikidata.org/entity/Q21154052,"acrofacial dysostosis, Catania type",Human disease,,
743,http://www.wikidata.org/entity/Q56344846,acrophilia,,,
744,http://www.wikidata.org/entity/Q461925,acrotomophilia,,,
745,http://www.wikidata.org/entity/Q4677466,activation syndrome,form of stimulation or agitation that has been observed in association with some psychoactive drugs,,
746,http://www.wikidata.org/entity/Q15636221,acute aphasia,type of aphasia that usually develops quickly as a result of head injury or stroke,,
747,http://www.wikidata.org/entity/Q50349821,acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome,autosomal recessive cerebellar ataxia that has material basis in homozygous or compound heterozygous mutation in the SCYL1 gene on chromosome 11q13,,
748,http://www.wikidata.org/entity/Q18967729,acute psychogenic paranoid psychosis,Human disease,,
749,http://www.wikidata.org/entity/Q18967629,acute schizophrenic episode chronic state,Human disease,,
750,http://www.wikidata.org/entity/Q18967628,acute schizophrenic episode chronic state with acute exacerbation,Human disease,,
751,http://www.wikidata.org/entity/Q18966843,acute schizophrenic episode in remission,Human disease,,
752,http://www.wikidata.org/entity/Q18967627,acute schizophrenic episode subchronic state,Human disease,,
753,http://www.wikidata.org/entity/Q18966757,acute schizophrenic episode subchronic state with acute exacerbation,Human disease,,
754,http://www.wikidata.org/entity/Q424221,acute stress disorder,"psychological response to a terrifying, traumatic, or surprising experience",,
755,http://www.wikidata.org/entity/Q18967156,acute stress reaction with predominant disturbance of consciousness,Human disease,,
756,http://www.wikidata.org/entity/Q18967391,acute undifferentiated schizophrenia,Human disease,,
757,http://www.wikidata.org/entity/Q3306774,addictive personality,set of personality traits that make an individual predisposed to developing addictions,,
758,http://www.wikidata.org/entity/Q317158,adjustment disorder,human disease,,
759,http://www.wikidata.org/entity/Q177809,adult Refsum disease,Human disease,,
760,http://www.wikidata.org/entity/Q3338664,adult-onset basal ganglia disease,Neuroferritinopathy is a late-onset type of neurodegeneration with brain iron accumulation (NBIA; see this term) characterized by progressive chorea or dystonia and subtle cognitive deficits,,
761,http://www.wikidata.org/entity/Q1125121,advanced sleep phase syndrome,sleep disorder that involves an altered circadian rhythm resulting in falling asleep in early evening and awaking very early in the morning,,
762,http://www.wikidata.org/entity/Q69880879,affective psychotic disorder,"Disorders in which the essential feature is a severe disturbance in mood (depression, anxiety, elation, and excitement) accompanied by psychotic symptoms such as delusions, hallucinations, gross impairment in reality testing, etc.",,
763,http://www.wikidata.org/entity/Q9089591,affective spectrum,Spectrum of mood disorders,,
764,http://www.wikidata.org/entity/Q30892488,afferent motor aphasia,,,
765,http://www.wikidata.org/entity/Q22906231,afrophobia,"fear of the cultures and peoples of Africa, as well as the African diaspora",,
766,http://www.wikidata.org/entity/Q206716,agalmatophilia,Inanimate Object Love,,
767,http://www.wikidata.org/entity/Q55783750,agammaglobulinemia-microcephaly-craniosynostosis-severe dermatitis syndrome,,,
768,http://www.wikidata.org/entity/Q3357668,agnathia-otocephaly complex,Human disease,,
769,http://www.wikidata.org/entity/Q220322,agnosia,neurologic sensory disorder,,
770,http://www.wikidata.org/entity/Q3328200,agoraphilia,,,
771,http://www.wikidata.org/entity/Q174589,agoraphobia,phobic disorder involving the specific anxiety about being in a place or situation where escape is difficult or embarrassing or where help may be unavailable,['http://www.wikidata.org/entity/Q319877'],['alprazolam']
772,http://www.wikidata.org/entity/Q2423084,agrammatism,non-fluent aphasia,,
773,http://www.wikidata.org/entity/Q395931,agraphia,disease that results in the loss of the ability to write,,
774,http://www.wikidata.org/entity/Q4694196,agrizoophobia,fear of wild animals,,
775,http://www.wikidata.org/entity/Q397554,agrypnia excitata,loss of sleep and motor and autonomic hyperactivity,,
776,http://www.wikidata.org/entity/Q55789862,agyria pachygyria polymicrogyria,"Cortical malformations characterized by no gyri, broad gyri and/or an excessive number of abnormally small gyri that result in an irregular cortical surface with lumpy aspect",,
777,http://www.wikidata.org/entity/Q55789863,agyria-pachygyria type 1,,,
778,http://www.wikidata.org/entity/Q2268045,aichmophobia,fear of sharp objects,,
779,http://www.wikidata.org/entity/Q405385,ailurophobia,fear of cats,,
780,http://www.wikidata.org/entity/Q418509,akinetic abulic syndrome,,,
781,http://www.wikidata.org/entity/Q784564,akinetopsia,agnosia that is a loss of motion perception,,
782,http://www.wikidata.org/entity/Q7331102,alcohol abuse,substance abuse that involves the recurring use of alcoholic beverages despite negative consequences,"['http://www.wikidata.org/entity/Q409587', 'http://www.wikidata.org/entity/Q409672', 'http://www.wikidata.org/entity/Q409665', 'http://www.wikidata.org/entity/Q178566', 'http://www.wikidata.org/entity/Q410011']","['naltrexone', '(RS)-citalopram', 'disulfiram', 'chlordiazepoxide', 'ondansetron']"
783,http://www.wikidata.org/entity/Q45462238,alcohol amnestic disorder,"alcoholic psychosis with a combination of polyneuritis with memory span, including striking loss of recent memory, disordered time appreciation and confabulations",,
784,http://www.wikidata.org/entity/Q4713253,alcohol and cancer,relationship between cancer and the consumption of alcohol,,
785,http://www.wikidata.org/entity/Q11290178,alcohol and health,Health effects of drinking alcohol,,
786,http://www.wikidata.org/entity/Q3683900,alcohol coma,,,
787,http://www.wikidata.org/entity/Q4713259,alcohol consumption by youth in the United States,,,
788,http://www.wikidata.org/entity/Q4713263,alcohol dependence,human disease,,
789,http://www.wikidata.org/entity/Q56317181,alcohol effects on circadian rhythm,,,
790,http://www.wikidata.org/entity/Q15847787,alcohol enema,injection of ethyl alcohol into the rectum for absorption,,
791,http://www.wikidata.org/entity/Q750343,alcohol flush reaction,condition in which a person develops flushes or blotches,,
792,http://www.wikidata.org/entity/Q16496265,alcohol poisoning,,,
793,http://www.wikidata.org/entity/Q16002420,alcohol use among college students,alcohol consumption by students,,
794,http://www.wikidata.org/entity/Q2832218,alcohol use among college students in France,,,
795,http://www.wikidata.org/entity/Q39088416,alcohol use during pregnancy,Toxic effects of alcohol consumption during pregnancy on a fetus,,
796,http://www.wikidata.org/entity/Q1345798,alcohol withdrawal seizure,seizures that occur in association with ethanol abuse without other identifiable causes,,
797,http://www.wikidata.org/entity/Q2914873,alcohol withdrawal syndrome,A set of symptoms that can occur after a reduction in alcohol use after excessive use,['http://www.wikidata.org/entity/Q413717'],['(RS)-baclofen']
798,http://www.wikidata.org/entity/Q18555102,alcohol-induced mental disorder,nental and behavioural disorders due to use of alcohol,,
799,http://www.wikidata.org/entity/Q4062514,alcohol-induced psychotic disorder,organic psychotic states due mainly to excessive consumption of alcoholic beverages,,
800,http://www.wikidata.org/entity/Q18553388,alcohol-related birth defect,"fetal alcohol spectrum disorder that results in damage to organs, bones, or muscles due to prenatal alcohol exposure",,
801,http://www.wikidata.org/entity/Q18205193,alcohol-related brain damage,toxic effects on the brain from use of alcohol,,
802,http://www.wikidata.org/entity/Q56014553,alcohol-related disorders,disorders related to or resulting from abuse or mis-use of alcohol,,
803,http://www.wikidata.org/entity/Q18553387,alcohol-related neurodevelopmental disorder,human disease,,
804,http://www.wikidata.org/entity/Q97999977,alcoholic Korsakoff syndrome,"neurological disorder with inattentiveness and the inability to form short term memories, caused by thiamine deficiency due to chronic alcoholism",,
805,http://www.wikidata.org/entity/Q2305174,alcoholic cardiomyopathy,"disease in which the chronic long-term abuse of alcohol (i.e., ethanol) leads to heart failure",,
806,http://www.wikidata.org/entity/Q18816398,alcoholic cerebellar degeneration,,,
807,http://www.wikidata.org/entity/Q110572881,alcoholic deterioration,,,
808,http://www.wikidata.org/entity/Q25416562,alcoholic fatty liver,lipid infiltration of the hepatic parenchymal cells that is due to alcohol abuse,,
809,http://www.wikidata.org/entity/Q18557999,alcoholic gastritis,human disease,,
810,http://www.wikidata.org/entity/Q1040275,alcoholic hallucinosis,type of hallucinosis (pseudo-hallucination),,
811,http://www.wikidata.org/entity/Q3144986,alcoholic hepatitis,hepatitis (inflammation of the liver) due to excessive intake of alcohol,,
812,http://www.wikidata.org/entity/Q6470994,alcoholic liver cirrhosis,Human disease,,
813,http://www.wikidata.org/entity/Q558404,alcoholic liver disease,medical condition,,
814,http://www.wikidata.org/entity/Q4713328,alcoholic lung disease,Human disease,,
815,http://www.wikidata.org/entity/Q11781606,alcoholic myopathy,,,
816,http://www.wikidata.org/entity/Q4062508,alcoholic neuropathy,Human disease,"['http://www.wikidata.org/entity/Q83187', 'http://www.wikidata.org/entity/Q73972', 'http://www.wikidata.org/entity/Q252251']","['thiamine(1+) ion', 'hydroxocobalamin', 'cyanocobalamin']"
817,http://www.wikidata.org/entity/Q4062516,alcoholic palimpsest,acute anterograde amnesia which occurs in the course of chronic alcoholism,,
818,http://www.wikidata.org/entity/Q18556573,alcoholic pancreatitis,human disease,,
819,http://www.wikidata.org/entity/Q28501397,alcoholic paranoid,chronic paranoid psychosis associated with alcoholism,,
820,http://www.wikidata.org/entity/Q15326,alcoholism,broad term for problems with alcohol,,
821,http://www.wikidata.org/entity/Q2647480,alcoholism in adolescence,overview of alcoholism in adolescence,,
822,http://www.wikidata.org/entity/Q16543572,alcoholism in adolescence in France,,,
823,http://www.wikidata.org/entity/Q1129046,alexithymia,"subclinical deficiency in understanding, processing, or describing emotions",,
824,http://www.wikidata.org/entity/Q1570503,algolagnia,pleasure from pain,,
825,http://www.wikidata.org/entity/Q2649390,allolalia,speech disorder resulting from cerebral damage,,
826,http://www.wikidata.org/entity/Q3612627,allomnesia,deformation of actual memories,,
827,http://www.wikidata.org/entity/Q1484024,alogia,"negative symptom, restriction in the amount of spontaneous speech",,
828,http://www.wikidata.org/entity/Q55780307,alopecia-epilepsy-pyorrhea-intellectual disability syndrome,,,
829,http://www.wikidata.org/entity/Q55781640,alopecia-intellectual disability syndrome,human disease,,
830,http://www.wikidata.org/entity/Q102293819,alopecia-mental retardation syndrome 1,human disease,,
831,http://www.wikidata.org/entity/Q55999861,alopecia-mental retardation syndrome 2,human disease,,
832,http://www.wikidata.org/entity/Q56002749,alopecia-mental retardation syndrome 3,human disease,,
833,http://www.wikidata.org/entity/Q111042737,alopecia-mental retardation syndrome 4,human disease,,
834,http://www.wikidata.org/entity/Q25377826,alternative psychosis,,,
835,http://www.wikidata.org/entity/Q5916945,altitude insomnia,,,
836,http://www.wikidata.org/entity/Q18209225,alvinolagnia,belly or midriff fetish,,
837,http://www.wikidata.org/entity/Q1131359,amaxophobia,fear of riding in a vehicle,,
838,http://www.wikidata.org/entity/Q462833,amentia,"state of acute hallucinatory confusion, characterised by disordered level of consciousness",,
839,http://www.wikidata.org/entity/Q55785873,aminopterin/methotrexate embryofetopathy,,,
840,http://www.wikidata.org/entity/Q11072,amnesia,"cognitive disorder where the memory is disturbed or lost and involves the loss of memories previously established, loss of the ability to create new memories, continuous high blood pressure and severe shock may also caused amnesia","['http://www.wikidata.org/entity/Q412189', 'http://www.wikidata.org/entity/Q410069', 'http://www.wikidata.org/entity/Q415081']","['memantine', 'piracetam', 'donepezil']"
841,http://www.wikidata.org/entity/Q2914153,amotivational syndrome,impairements associated with cannabis use,,
842,http://www.wikidata.org/entity/Q4748162,amphetamine dependence,state of psychological dependence on a drug in the amphetamine class,,
843,http://www.wikidata.org/entity/Q18557338,amphetamine-related disorders,negative health consequences of substance abuse that involves the recurring use of amphetamines,,
844,http://www.wikidata.org/entity/Q481787,amusia,"agnosia that is a loss of the ability to recognize musical notes, rhythms, and intervals",,
845,http://www.wikidata.org/entity/Q3705268,amyotrophic lateral sclerosis and frontotemporal dementia,clinic-pathological entity that can be framed within frontotemporal dementia,,
846,http://www.wikidata.org/entity/Q22906361,anabolic-androgenic steroids abuse,,,
847,http://www.wikidata.org/entity/Q3044887,anaclitic depression,,,
848,http://www.wikidata.org/entity/Q486058,anaphrodisia,human disease,,
849,http://www.wikidata.org/entity/Q486445,anarthria,,,
850,http://www.wikidata.org/entity/Q6017136,anatidaephobia,humorous fear of ducks,,
851,http://www.wikidata.org/entity/Q2028822,androphobia,abnormal fear of men,,
852,http://www.wikidata.org/entity/Q944108,animal phobia,specific phobia that involves a fear caused by the presence or thought of a specific animal that poses little or no danger at all,,
853,http://www.wikidata.org/entity/Q4765258,aniridia ataxia renal agenesis psychomotor retardation,medical condition,,
854,http://www.wikidata.org/entity/Q55785319,aniridia-intellectual disability syndrome,,,
855,http://www.wikidata.org/entity/Q55785318,aniridia-ptosis-intellectual disability-familial obesity syndrome,,,
856,http://www.wikidata.org/entity/Q567576,anomic aphasia,type of aphasia,,
857,http://www.wikidata.org/entity/Q567713,anorexia mirabilis,"religious fasting to the point of starvation, particularly of women and girls of the Middle Ages",,
858,http://www.wikidata.org/entity/Q131749,anorexia nervosa,type of eating disorder,"['http://www.wikidata.org/entity/Q7050955', 'http://www.wikidata.org/entity/Q190067']","['norethandrolone', 'tetrahydrocannabinol']"
859,http://www.wikidata.org/entity/Q1772397,anorgasmia,type of sexual dysfunction in which a person cannot achieve orgasm despite adequate stimulation,,
860,http://www.wikidata.org/entity/Q567869,anosognosia,"Unawareness of one's own illness, symptoms or impairments",,
861,http://www.wikidata.org/entity/Q3048964,antabuse effect,group of medical symptoms,,
862,http://www.wikidata.org/entity/Q572111,anterograde amnesia,loss of the ability to create new memories after the onset of amnesia,,
863,http://www.wikidata.org/entity/Q574485,anthropophobia,,,
864,http://www.wikidata.org/entity/Q18554152,antidepressant abuse,substance abuse that involves the recurring use of antidepressant drugs despite negative consequences,,
865,http://www.wikidata.org/entity/Q118418,antisocial personality disorder,Personality disorder that involves a pervasive pattern of disregard for other people,['http://www.wikidata.org/entity/Q208144'],['antipsychotics']
866,http://www.wikidata.org/entity/Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath","['http://www.wikidata.org/entity/Q408588', 'http://www.wikidata.org/entity/Q218842', 'http://www.wikidata.org/entity/Q407988', 'http://www.wikidata.org/entity/Q422244', 'http://www.wikidata.org/entity/Q210402', 'http://www.wikidata.org/entity/Q408535', 'http://www.wikidata.org/entity/Q201872', 'http://www.wikidata.org/entity/Q898407', 'http://www.wikidata.org/entity/Q412174', 'http://www.wikidata.org/entity/Q411932', 'http://www.wikidata.org/entity/Q409672', 'http://www.wikidata.org/entity/Q2419445', 'http://www.wikidata.org/entity/Q834280', 'http://www.wikidata.org/entity/Q410352', 'http://www.wikidata.org/entity/Q421930', 'http://www.wikidata.org/entity/Q416992', 'http://www.wikidata.org/entity/Q412194', 'http://www.wikidata.org/entity/Q407617', 'http://www.wikidata.org/entity/Q410346', 'http://www.wikidata.org/entity/Q3563148', 'http://www.wikidata.org/entity/Q423364', 'http://www.wikidata.org/entity/Q319877', 'http://www.wikidata.org/entity/Q412443', 'http://www.wikidata.org/entity/Q417240', 'http://www.wikidata.org/entity/Q408471', 'http://www.wikidata.org/entity/Q205517', 'http://www.wikidata.org/entity/Q423757', 'http://www.wikidata.org/entity/Q421937', 'http://www.wikidata.org/entity/Q411188', 'http://www.wikidata.org/entity/Q251347', 'http://www.wikidata.org/entity/Q408265', 'http://www.wikidata.org/entity/Q2924764', 'http://www.wikidata.org/entity/Q411457']","['vilazodone', 'zolpidem', 'clonazepam', 'fluoxetine', 'diazepam', 'quetiapine', 'olanzapine', 'venlafaxine', 'pregabalin', '(S)-duloxetine', '(RS)-citalopram', 'desvenlafaxine', 'bupropion', 'gabapentin', 'mirtazapine', 'lurasidone', 'buspirone', 'sertraline', 'lamotrigine', 'vortioxetine', 'propranolol', 'alprazolam', 'risperidone', 'atomoxetine', 'paroxetine', 'ziprasidone', 'escitalopram', '(RS)-hydroxyzine', 'aripiprazole', 'haloperidol', 'lorazepam', 'brexpiprazole', 'trazodone']"
867,http://www.wikidata.org/entity/Q16054607,anxiety,unpleasant state of inner turmoil,,
868,http://www.wikidata.org/entity/Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations","['http://www.wikidata.org/entity/Q422244', 'http://www.wikidata.org/entity/Q418361', 'http://www.wikidata.org/entity/Q418850', 'http://www.wikidata.org/entity/Q5641126', 'http://www.wikidata.org/entity/Q421930', 'http://www.wikidata.org/entity/Q411932', 'http://www.wikidata.org/entity/Q409672', 'http://www.wikidata.org/entity/Q412194', 'http://www.wikidata.org/entity/Q4926102', 'http://www.wikidata.org/entity/Q412443', 'http://www.wikidata.org/entity/Q178566', 'http://www.wikidata.org/entity/Q423364', 'http://www.wikidata.org/entity/Q898407', 'http://www.wikidata.org/entity/Q210402', 'http://www.wikidata.org/entity/Q415850', 'http://www.wikidata.org/entity/Q201872', 'http://www.wikidata.org/entity/Q417204', 'http://www.wikidata.org/entity/Q421937', 'http://www.wikidata.org/entity/Q61387', 'http://www.wikidata.org/entity/Q423071', 'http://www.wikidata.org/entity/Q409236', 'http://www.wikidata.org/entity/Q408535', 'http://www.wikidata.org/entity/Q423757', 'http://www.wikidata.org/entity/Q418351', 'http://www.wikidata.org/entity/Q416791', 'http://www.wikidata.org/entity/Q414796', 'http://www.wikidata.org/entity/Q408265', 'http://www.wikidata.org/entity/Q407617', 'http://www.wikidata.org/entity/Q407988', 'http://www.wikidata.org/entity/Q2149443', 'http://www.wikidata.org/entity/Q5102983', 'http://www.wikidata.org/entity/Q408471', 'http://www.wikidata.org/entity/Q407972', 'http://www.wikidata.org/entity/Q412299', 'http://www.wikidata.org/entity/Q319877', 'http://www.wikidata.org/entity/Q412174', 'http://www.wikidata.org/entity/Q2359690']","['fluoxetine', 'maprotiline', 'clorazepic acid', 'halazepam', 'mirtazapine', '(S)-duloxetine', '(RS)-citalopram', 'buspirone', 'bromodiphenhydramine', 'risperidone', 'chlordiazepoxide', 'propranolol', 'venlafaxine', 'diazepam', 'amobarbital', 'olanzapine', 'levomepromazine', '(RS)-hydroxyzine', 'nortriptyline', 'midazolam', 'fluvoxamine', 'quetiapine', 'escitalopram', 'meprobamate', 'cidoxepin', 'temazepam', 'lorazepam', 'sertraline', 'clonazepam', 'prazepam', 'chlormezanone', 'paroxetine', 'chlorpromazine', 'oxazepam', 'alprazolam', 'pregabalin', 'prochlorperazine']"
869,http://www.wikidata.org/entity/Q3347244,anxiety neurosis,,,
870,http://www.wikidata.org/entity/Q55780338,aortic arch anomaly-facial dysmorphism-intellectual disability syndrome,medical condition,,
871,http://www.wikidata.org/entity/Q309406,apathy,state of indifference or the suppression of emotions; lack of interest or enthusiasm,,
872,http://www.wikidata.org/entity/Q46545345,apathy-aboulia syndrome,"psychopathological syndrome, characterised by apathy and aboulia, occurring in schizophrenia or after a brain damage",['http://www.wikidata.org/entity/Q905058'],['mesocarb']
873,http://www.wikidata.org/entity/Q2836,aphasia,inability to use spoken language,,
874,http://www.wikidata.org/entity/Q12300636,aphemia,Type of aphasia,,
875,http://www.wikidata.org/entity/Q514686,aphonia,medical condition leading to loss of voice,,
876,http://www.wikidata.org/entity/Q55787565,aphonia-deafness-retinal dystrophy-bifid halluces-intellectual disability syndrome,human disease,,
877,http://www.wikidata.org/entity/Q30918966,aphrodisia,,,
878,http://www.wikidata.org/entity/Q1859754,apperceptive agnosia,agnosia that is a loss of the ability to distinguish visual shapes,,
879,http://www.wikidata.org/entity/Q58145981,apragmatism,state of inactivity caused by schizophrenia or severe depression,,
880,http://www.wikidata.org/entity/Q498916,apraxia,agnosia that is a loss of the ability to map out physical actions in order to repeat them in functional activities,,
881,http://www.wikidata.org/entity/Q2859168,aquaphilia,form of sexual fetishism,,
882,http://www.wikidata.org/entity/Q55785348,arachnodactyly-abnormal ossification-intellectual disability syndrome,,,
883,http://www.wikidata.org/entity/Q220783,arachnophobia,fear of spiders and other arachnids,,
884,http://www.wikidata.org/entity/Q55789813,arena syndrome,human disease,,
885,http://www.wikidata.org/entity/Q748104,arithmomania,mental disorder whereby someone has a strong need to count their actions or nearby objects,,
886,http://www.wikidata.org/entity/Q12230347,armpit fetishism,partialism in which an individual is sexually attracted to armpits,,
887,http://www.wikidata.org/entity/Q5832715,army disease,opiate addiction  during American Civil War,,
888,http://www.wikidata.org/entity/Q4795924,arrested development,psychological disorder,,
889,http://www.wikidata.org/entity/Q18556221,articulation disorder,"speech disorder that involves mispronouncing speech sounds by omitting, distorting, substituting, or adding sounds which can make speech difficult to understand",,
890,http://www.wikidata.org/entity/Q3625125,asemia,Inability to understand or express any signs or symbols,,
891,http://www.wikidata.org/entity/Q2254511,associative agnosia,agnosia that is a loss of the ability to recognize visual scenes or classes of objects but retain the abilty to describe them,,
892,http://www.wikidata.org/entity/Q739221,astereognosia,"agnosia that is the loss of the ability to recognize objects by touch based on its texture, size and weight",,
893,http://www.wikidata.org/entity/Q9169874,asymptomatic neurosyphilis,,,
894,http://www.wikidata.org/entity/Q18553767,asymptomatic neurosyphilis,tertiary neurosyphilis that results in mild meningitis,,
895,http://www.wikidata.org/entity/Q4071950,atactic thinking,schizophrenic thought disorder,,
896,http://www.wikidata.org/entity/Q387082,ataxia telangiectasia,"a rare, neurodegenerative, autosomal recessive human disease causing severe disability",,
897,http://www.wikidata.org/entity/Q55346098,ataxia with dementia,human disease,,
898,http://www.wikidata.org/entity/Q18553452,ataxia with oculomotor apraxia type 1,"Ataxia with oculomotor apraxia type 1 (AOA1) is a rare autosomal recessive cerebellar ataxia (ARCA; see this term), characterized by progressive cerebellar ataxia associated with oculomotor apraxia, severe neuropathy, and hypoalbuminemia",,
899,http://www.wikidata.org/entity/Q26492776,ataxia with oculomotor apraxia type 3,human disease,,
900,http://www.wikidata.org/entity/Q55784818,ataxia-intellectual disability-oculomotor apraxia-cerebellar cysts syndrome,,,
901,http://www.wikidata.org/entity/Q55345892,ataxia-oculomotor apraxia type 4,human disease,,
902,http://www.wikidata.org/entity/Q55785354,ataxia-photosensitivity-short stature syndrome,human disease,,
903,http://www.wikidata.org/entity/Q56014123,ataxia-telangiectasia variant,,,
904,http://www.wikidata.org/entity/Q55345692,ataxia-telangiectasia with generalized skin pigmentation and early death,human disease,,
905,http://www.wikidata.org/entity/Q55345773,ataxia-telangiectasia-like disorder,"An autosomal recessive condition caused by mutation(s) in the MRE11A gene, encoding double-strand break repair protein MRE11. It is characterized by progressive cerebellar degeneration resulting in ataxia and oculomotor apraxia.",,
906,http://www.wikidata.org/entity/Q18553377,atelosteogenesis,human disease,,
907,http://www.wikidata.org/entity/Q49970049,atelosteogenesis type I,disease,,
908,http://www.wikidata.org/entity/Q2870197,atelosteogenesis type II,medical condition,,
909,http://www.wikidata.org/entity/Q4815725,athymhormic syndrome,Rare psychological or neurological condition,,
910,http://www.wikidata.org/entity/Q4072248,atremia,,,
911,http://www.wikidata.org/entity/Q3540868,attachment disorder,"mental health disorders caused by abnormal or lack of social contact or good socializing, disability in managing intimidation, bullying, abuse.",,
912,http://www.wikidata.org/entity/Q67198812,attention deficit and disruptive behavior disorders,neurodevelopmental disorder including two similar disorders: oppositional defiant disorder and conduct disorders,,
913,http://www.wikidata.org/entity/Q36941615,attention deficit disorder,,,
914,http://www.wikidata.org/entity/Q181923,attention deficit hyperactivity disorder,range of neurodevelopmental conditions,"['http://www.wikidata.org/entity/Q419008', 'http://www.wikidata.org/entity/Q898407', 'http://www.wikidata.org/entity/Q1706418', 'http://www.wikidata.org/entity/Q417240', 'http://www.wikidata.org/entity/Q58396', 'http://www.wikidata.org/entity/Q422112', 'http://www.wikidata.org/entity/Q179452', 'http://www.wikidata.org/entity/Q5613599', 'http://www.wikidata.org/entity/Q423288', 'http://www.wikidata.org/entity/Q191924', 'http://www.wikidata.org/entity/Q410441', 'http://www.wikidata.org/entity/Q402633', 'http://www.wikidata.org/entity/Q1207210', 'http://www.wikidata.org/entity/Q834280', 'http://www.wikidata.org/entity/Q61387', 'http://www.wikidata.org/entity/Q412221', 'http://www.wikidata.org/entity/Q2506823']","['pemoline', 'venlafaxine', 'dextroamphetamine', 'atomoxetine', 'imipramine', 'methylphenidate', 'DL-amphetamine', 'guanfacine', 'desipramine', 'D-methamphetamine', 'modafinil', '(±)-deprenyl', 'dexmethylphenidate', 'bupropion', 'nortriptyline', 'clonidine', '(R)-amphetamine']"
915,http://www.wikidata.org/entity/Q2156290,atychiphobia,,,
916,http://www.wikidata.org/entity/Q56014032,atypical Rett syndrome,Atypical Rett syndrome (atypical RTT) is a neurodevelopmental disorder that is diagnosed when a child presents with a Rett-like syndrome but does not fulfill all the diagnostic criteria for typical Rett syndrome (classic/typical RTT; see this term),,
917,http://www.wikidata.org/entity/Q9162871,atypical autism,autism spectrum disorder that involves some autistic symptoms occuring after age 3 with an abscence of all the traits necessary for a diagnosis of autism,,
918,http://www.wikidata.org/entity/Q2657784,atypical depressive disorder,depression characterized by improved mood in response to positive events,,
919,http://www.wikidata.org/entity/Q18967557,atypical manic disorder,Human disease,,
920,http://www.wikidata.org/entity/Q55345950,atypical pantothenate kinase-associated neurodegeneration,human disease,,
921,http://www.wikidata.org/entity/Q55346109,atypical progressive supranuclear palsy syndrome,,,
922,http://www.wikidata.org/entity/Q24886208,atypical psychosis,,,
923,http://www.wikidata.org/entity/Q10601887,atypical scrapie,prion disease of small ruminants,,
