item,itemLabel,itemDescription
http://www.wikidata.org/entity/Q4419847,Pavlov's symptom,catatonic symptom (described by Pavlov) :  the patient reacts only to whispering.
http://www.wikidata.org/entity/Q2066269,Pediatric acute-onset neuropsychiatric syndrome,clinically defined disorder
http://www.wikidata.org/entity/Q2111918,Perseverative cognition,
http://www.wikidata.org/entity/Q176671,Persistent genital arousal disorder,"unwanted, unprompted, persistent arousal of the female genitalia, without desire"
http://www.wikidata.org/entity/Q1559250,Peters plus syndrome,"syndrome that is characterized by anterior chamber eye anomalies, short limbs with broad distal extremities, characteristic facial features, cleft lip/palate, and variable developmental delay/intellectual disability"
http://www.wikidata.org/entity/Q66429539,Petrol sniffing,subconcept of Substance abuse (scot/11103)
http://www.wikidata.org/entity/Q55782201,Pfeiffer-Palm-Teller syndrome,
http://www.wikidata.org/entity/Q1552776,Phantosmia,smelling of an odor not actually there
http://www.wikidata.org/entity/Q875992,Phocomelia due to thalidomide,medical condition
http://www.wikidata.org/entity/Q18576,Pick disease,"rare neurodegenerative disorder, characterized by formation of Pick bodies"
http://www.wikidata.org/entity/Q55783259,Pierpont syndrome,human disease
http://www.wikidata.org/entity/Q1164401,Pitt-Hopkins syndrome,"rare genetic disorder characterized by developmental delay, epilepsy, distinctive facial features, and possible intermittent hyperventilation followed by apnea"
http://www.wikidata.org/entity/Q56013820,Pitt-Hopkins-like syndrome,human disease
http://www.wikidata.org/entity/Q56002910,Pitt-Hopkins-like syndrome 2,human disease
http://www.wikidata.org/entity/Q7205365,Plum syndrome,medical condition
http://www.wikidata.org/entity/Q47461990,Polyneuropathy-intellectual disability-acromicria-premature menopause syndrome,rare disease
http://www.wikidata.org/entity/Q7227004,Polysubstance dependence,state of psychological dependence to intoxication in general
http://www.wikidata.org/entity/Q7233752,Post stroke depression,
http://www.wikidata.org/entity/Q778642,Post-SSRI sexual dysfunction,iatrogenic pathology caused by serotonin reuptake inhibitors (SSRIs) and serotonin-noradrenaline reuptake inhibitors (SNRIs)
http://www.wikidata.org/entity/Q106034550,Post-abortion survivor syndrome,type of survivor guilt
http://www.wikidata.org/entity/Q7233499,Post-acute-withdrawal syndrome,opiate withdrawal syndrome
http://www.wikidata.org/entity/Q60775223,Post-adoption depression syndrome,medical condition
http://www.wikidata.org/entity/Q1188518,Post-traumatic amnesia,medical condition
http://www.wikidata.org/entity/Q7233592,Post-traumatic epilepsy,form of acquired epilepsy
http://www.wikidata.org/entity/Q7233593,Post-traumatic seizure,seizure that results from traumatic brain injury
http://www.wikidata.org/entity/Q5488618,Post-vacation blues,informal term describing depression felt by people after a vacation (especially a long one)
http://www.wikidata.org/entity/Q2869816,Posterior cortical atrophy,form of dementia
http://www.wikidata.org/entity/Q1537070,Postictal  twilight state,
http://www.wikidata.org/entity/Q12192253,Postperfusion syndrome,Transient neurocognitive deficit after surgery using heart-lung machine
http://www.wikidata.org/entity/Q39656409,Potocki-Luspski syndrome,"A chromosomal duplication syndrome characterized by hypotonia, failure to thrive, mental retardation, pervasive developmental disorders and congenital anomalies that has material basis in duplication of a region of chromosome 17p11.2."
http://www.wikidata.org/entity/Q55346035,PrP systemic amyloidosis,(20p13) leading to deposition of prion protein amyloid
http://www.wikidata.org/entity/Q55787986,Prader-Willi-like syndrome,human disease
http://www.wikidata.org/entity/Q55787987,Prader-Willi-like syndrome due to point mutation,human disease
http://www.wikidata.org/entity/Q7238040,Prairie madness,mental suffering among settlers of the North American plains
http://www.wikidata.org/entity/Q28065609,Prieto syndrome,Human disease
http://www.wikidata.org/entity/Q55999603,Primary enuresis,"Nocturnal enuresis with at least 3 nightly episodes in children older than 7 years, where the child has always had the disorder"
http://www.wikidata.org/entity/Q7243682,Primrose syndrome,medical condition
http://www.wikidata.org/entity/Q7250686,Prosopamnesia,
http://www.wikidata.org/entity/Q42311255,Pseudoaminopterin syndrome,
http://www.wikidata.org/entity/Q55781623,Pseudoprogeria syndrome,"Pseudoprogeria is characterised by intellectual deficit associated with progressive spastic quadriplegia, microcephaly, glaucoma, absence of the eyebrows and eyelashes, and a malformation of the nose. It has been described in two brothers."
http://www.wikidata.org/entity/Q7255548,Pseudosenility,
http://www.wikidata.org/entity/Q22975779,Psychasthenia,"psychological disorder characterized by phobias, obsessions, compulsions, or excessive anxiety"
http://www.wikidata.org/entity/Q7256234,Psychiatric disorders of childbirth,mental disorders developed by the mother related to the delivery process
http://www.wikidata.org/entity/Q9394941,Psychogenic alopecia,
http://www.wikidata.org/entity/Q7256347,Psychogenic alopecia in cats,
http://www.wikidata.org/entity/Q7256349,Psychogenic pruritus,medical condition
http://www.wikidata.org/entity/Q3510780,Puberphonia,
http://www.wikidata.org/entity/Q7261173,Purely Obsessional OCD,Anxiety disorder
http://www.wikidata.org/entity/Q7261223,Purging disorder,Eating disorder
http://www.wikidata.org/entity/Q7267327,Qazi Markouizos syndrome,"syndrome that is characterized by hypotonia, congenital fiber type disproportion and dysharmonic skeletal maturation"
http://www.wikidata.org/entity/Q2103933,REM sleep behavior disorder,sleep disorder that involves abnormal behavior including the acting out of violent or dramatic dreams during the sleep phase with rapid eye movement
http://www.wikidata.org/entity/Q54932054,REM sleep parasomnia,abnormal behavioral or physiologic events that are associated with REM sleep
http://www.wikidata.org/entity/Q30989182,RIDDLE syndrome,human disease
http://www.wikidata.org/entity/Q103839144,Rahman syndrome,
http://www.wikidata.org/entity/Q7289967,Ramos-Arroyo syndrome,medical condition
http://www.wikidata.org/entity/Q102293978,Raynaud-Claes syndrome,human disease
http://www.wikidata.org/entity/Q3044888,Recurrent brief depression,type of depression
http://www.wikidata.org/entity/Q622454,Red Scare,any of several events where widespread fear of communism or leftism develops
http://www.wikidata.org/entity/Q20983108,Red Scare in Japan,promotion of fear of the rise of communism or radical leftism in Japan
http://www.wikidata.org/entity/Q7305419,Red wine headache,headache often accompanied by nausea and flushing
http://www.wikidata.org/entity/Q786896,Reinke's edema,medical condition
http://www.wikidata.org/entity/Q7310756,Relationship obsessive–compulsive disorder,form of obsessive–compulsive disorder focusing on close or intimate relationships
http://www.wikidata.org/entity/Q7311385,Religious paranoia,
http://www.wikidata.org/entity/Q56014369,Renier-Gabreels-Jasper syndrome,
http://www.wikidata.org/entity/Q7313459,Renpenning syndrome,"intellectual disability that is characterized by small head size (microcephaly), long narrow face, short stature, small testes, and intellectual deficit which follows X-linked inheritance and presents most often in males"
http://www.wikidata.org/entity/Q7315909,Respiratory bronchiolitis interstitial lung disease,medical condition
http://www.wikidata.org/entity/Q16979375,Retarded depression,
http://www.wikidata.org/entity/Q2146200,Retired husband syndrome,
http://www.wikidata.org/entity/Q917357,Rett syndrome,genetic brain disorder
http://www.wikidata.org/entity/Q55784957,Roifman syndrome,human disease
http://www.wikidata.org/entity/Q7376681,Rud syndrome,human disease
http://www.wikidata.org/entity/Q7376987,Rudiger syndrome,medical condition
http://www.wikidata.org/entity/Q55781460,Ruvalcaba syndrome,
http://www.wikidata.org/entity/Q7389072,SCARF syndrome,medical condition
http://www.wikidata.org/entity/Q55784972,SLC39A8-CDG,human disease
http://www.wikidata.org/entity/Q11243738,SM girl,
http://www.wikidata.org/entity/Q175918,SSRI discontinuation syndrome,"condition that can occur following the interruption, dose reduction, or discontinuation of antidepressant drugs, including selective serotonin re-uptake inhibitors (SSRIs) or serotonin–norepinephrine reuptake inhibitors (SNRIs)"
http://www.wikidata.org/entity/Q55998485,STUT1,human disease
http://www.wikidata.org/entity/Q55999825,STUT2,human disease
http://www.wikidata.org/entity/Q56003046,STUT3,human disease
http://www.wikidata.org/entity/Q56003051,STUT4,human disease
http://www.wikidata.org/entity/Q56278375,SYT1-associated neurodevelopmental disorder,medical condition
http://www.wikidata.org/entity/Q18448658,Salt craving,
http://www.wikidata.org/entity/Q55782100,Say-Barber-Miller syndrome,"Say-Barber-Miller syndrome is characterised by the association of unusual facial features, microcephaly, developmental delay, and severe postnatal growth retardation"
http://www.wikidata.org/entity/Q7429383,Say–Meyer syndrome,X-linked recessive disorder characterised by developmental delay
http://www.wikidata.org/entity/Q7431481,Schinzel–Giedion syndrome,"Schinzel-Giedion syndrome (SGS) is an ectodermal dysplasia syndrome chiefly characterized by a distinctive facial dysmorphism, hydronephrosis, severe developmental delay, typical skeletal malformations, and genital and cardiac anomalies"
http://www.wikidata.org/entity/Q50349621,Schuurs-Hoeijmakers Syndrome,An autosomal dominant non-syndromic intellectual disability that has material basis in an autosomal dominant mutation of PACS1 on chromosome 11q13.1-q13.2.
http://www.wikidata.org/entity/Q7442226,Seaver Cassidy syndrome,medical condition
http://www.wikidata.org/entity/Q7444204,Secretan's syndrome,medical condition
http://www.wikidata.org/entity/Q56313643,Semantic aphasia,
http://www.wikidata.org/entity/Q7449060,Semantic dyslexia,
http://www.wikidata.org/entity/Q7451812,Separation anxiety in dogs,Dogs get this when their owners spend too much time and then not as much time with them.
http://www.wikidata.org/entity/Q19703046,"Severe X-linked intellectual disability, Gustavson type",medical condition
http://www.wikidata.org/entity/Q12373588,Severe mental retardation,
http://www.wikidata.org/entity/Q109393972,Sex with donkey,
http://www.wikidata.org/entity/Q7458757,Sexual anorexia,informal term for sexual aversion
http://www.wikidata.org/entity/Q3540872,Sexual maturation disorder,psychic disorder
http://www.wikidata.org/entity/Q7458802,Sexual obsessions,
http://www.wikidata.org/entity/Q3406281,Sexual relationship disorder,medical condition
http://www.wikidata.org/entity/Q21452236,Sexuality after spinal cord injury,Aspect of human sexuality
http://www.wikidata.org/entity/Q11612290,Shenkui,medical condition
http://www.wikidata.org/entity/Q478891,Simpson-Golabi-Behmel syndrome,"X-linked disease characterized by pre- and postnatal overgrowth and craniofacial, skeletal, cardiac and renal abnormalities"
http://www.wikidata.org/entity/Q60195338,Simpson-Golabi-Behmel syndrome type 2,"X-linked recessive disease that has material basis in mutation in the OFD1 gene on chromosome Xp22 and is characterized by developmental delay, macrocephaly, and respiratory problems"
http://www.wikidata.org/entity/Q104414279,Skraban-Deardorff syndrome,Other congenital malformations
http://www.wikidata.org/entity/Q2569523,Skumin syndrome,disease
http://www.wikidata.org/entity/Q54959848,"Sleep Disorders, Intrinsic","Dyssomnias (i.e., insomnias or hypersomnias) associated with dysfunction of internal sleep mechanisms or secondary to a sleep-related medical disorder (e.g., sleep apnea, post-traumatic sleep disorders, etc.). (From Thorpy, Sleep Disorders"
http://www.wikidata.org/entity/Q85801575,Sleep emailing,
http://www.wikidata.org/entity/Q7539766,Sleep state misperception,term used to classify sleep disorders
http://www.wikidata.org/entity/Q7544659,Smile mask syndrome,psychological disorder proposed by professor Makoto Natsume
http://www.wikidata.org/entity/Q998273,Smith-Lemli-Opitz syndrome,"an inborn error of cholesterol synthesis. It is an autosomal recessive, multiple malformation syndrome caused by a mutation in the enzyme 7-Dehydrocholesterol reductase, or DHCR7."
http://www.wikidata.org/entity/Q2295338,Smith-Magenis syndrome,Human disease
http://www.wikidata.org/entity/Q7545701,Smith–Fineman–Myers syndrome,medical condition
http://www.wikidata.org/entity/Q25312963,Smokeless tobacco keratosis,medical condition
http://www.wikidata.org/entity/Q113162104,Snijders Blok-Campeau syndrome,medical condition
http://www.wikidata.org/entity/Q106296410,Snijders Blok-Fisher syndrome,
http://www.wikidata.org/entity/Q22965579,Snyder-Robinson syndrome,Human disease
http://www.wikidata.org/entity/Q85847240,Social (pragmatic) communication disorder,medical condition
http://www.wikidata.org/entity/Q4428661,Somatoparaphrenia,Delusion involving denial of ownership of a limb
http://www.wikidata.org/entity/Q635495,Somniloquy,The phenomenon of talking while asleep.
http://www.wikidata.org/entity/Q24977247,Spastic ataxia-corneal dystrophy syndrome,"Mousa-AlDin-AlNassar syndrome is characterised by the presence of spastic ataxia in association with bilateral congenital cataract, corneal dystrophy, and nonaxial myopia"
http://www.wikidata.org/entity/Q111966757,Spatial anxiety,"a sense of anxiety an individual experiences while processing environmental information contained in one’s geographical space, with the purpose of navigation and orientation through that space"
http://www.wikidata.org/entity/Q19978640,Specific developmental disorders of speech and language,
http://www.wikidata.org/entity/Q5356302,Speech and language impairment,fonoaudiologia
http://www.wikidata.org/entity/Q28469667,Spiritual drunkenness,Behavior resembling drunkenness seen in some Christian adherents
http://www.wikidata.org/entity/Q542105,Springtime lethargy,"A state of fatigue, lowered energy, or depression, associated with the onset of spring"
http://www.wikidata.org/entity/Q43389521,Steinfeld syndrome,"Holoprosencephaly-radial heart renal anomalies syndrome is characterised by holoprosencephaly, predominantly radial limb deficiency (absent thumbs, phocomelia), heart defects, kidney malformations and absence of gallbladder"
http://www.wikidata.org/entity/Q7617360,Stimmler syndrome,medical condition
http://www.wikidata.org/entity/Q2802231,Subcortical dementia,medical condition
http://www.wikidata.org/entity/Q7633608,Sudden wealth syndrome,medical condition
http://www.wikidata.org/entity/Q522163,Sydenham's chorea,"disorder characterized by rapid, uncoordinated jerking movements primarily affecting the face, hands and feet"
http://www.wikidata.org/entity/Q21660315,Syntactic aphasia,
http://www.wikidata.org/entity/Q3043344,Sérieux and Capgras delusions of interpretation,
http://www.wikidata.org/entity/Q55785055,TELO2-related intellectual disability-neurodevelopmental disorder,human disease
http://www.wikidata.org/entity/Q55784028,THOC6-related developmental delay-microcephaly-facial dysmorphism syndrome,human disease
http://www.wikidata.org/entity/Q55785010,TMEM199-CDG,human disease
http://www.wikidata.org/entity/Q7685722,Tardive dysmentia,
http://www.wikidata.org/entity/Q53160608,Tatton-Brown-Rahman Syndrome,human disease
http://www.wikidata.org/entity/Q55783840,Temple-Baraitser syndrome,medical condition
http://www.wikidata.org/entity/Q9390463,Temtamy preaxial brachydactyly syndrome,human disease
http://www.wikidata.org/entity/Q54366503,Temtamy syndrome,"Temtamy syndrome is a very rare congenital genetic neurological disorder characterized by agenesis/hypoplasia of corpus callosum with developmental abnormalities, ocular disorders, and variable craniofacial and skeletal abnormalities"
http://www.wikidata.org/entity/Q6147355,Thyrotoxicosis factitia,medical condition
http://www.wikidata.org/entity/Q2784967,Tone deafness,human disease
http://www.wikidata.org/entity/Q9390445,Toriello-Carey syndrome,"Toriello Carey syndrome is a multiple congenital anomaly syndrome characterized by craniofacial dysmorphic features, cerebral anomalies, swallowing difficulties, cardiac defects and hypotonia"
http://www.wikidata.org/entity/Q191779,Tourette syndrome,neurodevelopmental condition
http://www.wikidata.org/entity/Q4465866,Tourettism,Tourette-like symptoms in the absence of Tourette syndrome
http://www.wikidata.org/entity/Q2449188,Transient epileptic amnesia,
http://www.wikidata.org/entity/Q3657255,Transmissible mink encephalopathy,prion disease of mink
http://www.wikidata.org/entity/Q105038706,Unipolar mania,unrecognized mental illness
http://www.wikidata.org/entity/Q85812360,Unspecified paraphilic disorder,
http://www.wikidata.org/entity/Q241827,Upper airway resistance syndrome,sleep disorder
http://www.wikidata.org/entity/Q7900262,Urban–Rogers–Meyer syndrome,medical condition
http://www.wikidata.org/entity/Q7902079,Usog,
http://www.wikidata.org/entity/Q102293225,Van Esch-O'Driscoll syndrome,human disease
http://www.wikidata.org/entity/Q18966114,Van Maldergem syndrome,Human disease
http://www.wikidata.org/entity/Q66804105,Van Maldergem syndrome 1,Van Maldergem syndrome that has material basis in homozygous mutation in the DCHS1 gene on chromosome 11p15
http://www.wikidata.org/entity/Q55784756,Verheij syndrome,human disease
http://www.wikidata.org/entity/Q110493745,Veronal poisoning,
http://www.wikidata.org/entity/Q30302405,Visual Hallucinations in Psychosis,hallucinations accompanied by delusions
http://www.wikidata.org/entity/Q4117792,Vocal fold cyst,medical condition
http://www.wikidata.org/entity/Q1386976,W syndrome,"W syndrome is characterised by intellectual deficit, epileptic seizures and facial dysmorphism. Skeletal anomalies are also often present. To date, it has been described in six male patients. The mode of transmission appears to be X-linked dominant."
http://www.wikidata.org/entity/Q7968034,Wannarexia,
http://www.wikidata.org/entity/Q2549256,Warfarin Embryopathy,Disorder of the embryo caused by maternal warfarin administration
http://www.wikidata.org/entity/Q4348144,Weaver syndrome,Human disease
http://www.wikidata.org/entity/Q55787738,Weaver-Williams syndrome,
http://www.wikidata.org/entity/Q6137204,Wendy's syndrome,
http://www.wikidata.org/entity/Q1573307,Wernicke encephalopathy,"presence of neurological symptoms caused by biochemical lesions of the central nervous system after exhaustion of B-vitamin reserves,"
http://www.wikidata.org/entity/Q2563352,Wernicke–Korsakoff syndrome,combined presence of Wernicke's encephalopathy (WE) and Korsakoff's syndrome
http://www.wikidata.org/entity/Q50349641,White-Sutton syndrome,An autosomal dominant non-syndromic intellectual disability that has material basis in an autosomal dominant mutation of POGZ on chromosome 1q21.3.
http://www.wikidata.org/entity/Q48989140,Wieacker syndrome,medical condition
http://www.wikidata.org/entity/Q3508774,Wiedemann-Rautenstrauch syndrome,"very rare disorder with features of premature aging recognizable at birth, decreased subcutaneous fat, hypotrichosis, relative macrocephaly and dysmorphism"
http://www.wikidata.org/entity/Q24975353,Wiedemann-Steiner syndrome,hereditary disease
http://www.wikidata.org/entity/Q74750128,Wikipedia addiction,
http://www.wikidata.org/entity/Q8000937,Wild man syndrome,
http://www.wikidata.org/entity/Q558077,Williams-Beuren syndrome,neurodevelopmental disorder
http://www.wikidata.org/entity/Q117121,Wilson disease,multisystem disease due to abnormal accumulation of copper
http://www.wikidata.org/entity/Q8023321,Wilson–Turner syndrome,Human disease
http://www.wikidata.org/entity/Q127770,Witzelsucht,Human neurological disorder
http://www.wikidata.org/entity/Q8032762,Woodhouse–Sakati syndrome,"Woodhouse-Sakati syndrome is a multisystemic disorder characterized by hypogonadism, alopecia, diabetes mellitus, intellectual deficit and extrapyramidal signs with choreoathetoid movements and dystonia"
http://www.wikidata.org/entity/Q55782493,X-linked cerebral-cerebellar-coloboma syndrome syndrome,human disease
http://www.wikidata.org/entity/Q55782500,X-linked colobomatous microphthalmia-microcephaly-intellectual disability-short stature syndrome,human disease
http://www.wikidata.org/entity/Q55787872,X-linked congenital disorder of glycosylation with intellectual disability as a major feature,human disease
http://www.wikidata.org/entity/Q55782492,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type","X-linked dominant chondrodysplasia Chassaing-Lacombe type is a rare genetic bone disorder characterized by chondrodysplasia, intrauterine growth retardation (IUGR), hydrocephaly and facial dysmorphism in the affected males"
http://www.wikidata.org/entity/Q55782450,X-linked epilepsy-learning disabilities-behavior disorders syndrome,human disease
http://www.wikidata.org/entity/Q55788367,X-linked female restricted facial dysmorphism-short stature-choanal atresia-intellectual disability,human disease
http://www.wikidata.org/entity/Q102296711,X-linked intellectual developmental disorder 108,human disease
http://www.wikidata.org/entity/Q25381003,X-linked lissencephaly with abnormal genitalia,
http://www.wikidata.org/entity/Q55782534,X-linked mandibulofacial dysostosis,
http://www.wikidata.org/entity/Q54553054,X-linked mental retardation 1,
http://www.wikidata.org/entity/Q54319961,X-linked mental retardation 102,"An inherited condition caused by mutation(s) in the DDX3X gene, encoding ATP-dependent RNA helicase DDX3X. It is characterized by severe intellectual disability and variable neurologic features."
http://www.wikidata.org/entity/Q53660494,X-linked mental retardation 106,human disease
http://www.wikidata.org/entity/Q55373611,X-linked mental retardation with cerebellar hypoplasia and distinctive facial appearance,"X-linked intellectual deficit-cerebellar hypoplasia, also known as OPHN1 syndrome, is a rare syndromic form of cerebellar dysgenesis characterized by moderate to severe intellectual deficit and cerebellar abnormalities"
http://www.wikidata.org/entity/Q55788185,X-linked microcephaly-growth retardation-prognathism-cryptorchidism syndrome,human disease
http://www.wikidata.org/entity/Q55346080,"X-linked neurodegenerative syndrome, Bertini type",
http://www.wikidata.org/entity/Q55346081,"X-linked neurodegenerative syndrome, Hamel type",
http://www.wikidata.org/entity/Q55345743,X-linked progressive cerebellar ataxia,human disease
http://www.wikidata.org/entity/Q55788635,X-linked recessive intellectual disability-macrocephaly-ciliary dysfunction syndrome,"gene, known to be involved in oral-facial-digital syndrome"
http://www.wikidata.org/entity/Q8042637,XXXY syndrome,"The 48,XXXY syndrome represents a chromosomal anomaly of the aneuploidic type characterized by the presence of two extra X chromosomes in males"
http://www.wikidata.org/entity/Q55787839,XYLT1-CDG,human disease
http://www.wikidata.org/entity/Q106311469,XYYY syndrome,chromosomal disorder
http://www.wikidata.org/entity/Q25111656,Xia-Gibbs Syndrome,An autosomal dominant non-syndromic intellectual disability that has material basis in an autosomal dominant mutation of AHDC1 on chromosome 1p36.1-p35.3.
http://www.wikidata.org/entity/Q55786961,Xp22.13p22.2 duplication syndrome,human disease
http://www.wikidata.org/entity/Q55787377,Xq12-q13.3 duplication syndrome,
http://www.wikidata.org/entity/Q1408567,Xylophagia,form of pica
http://www.wikidata.org/entity/Q8058422,Young-Simpson syndrome,Human disease
http://www.wikidata.org/entity/Q17155571,Young–Madders syndrome,"Holoprosencephaly-postaxial polydactyly syndrome associates, in chromosomally normal neonates, holoprosencephaly, severe facial dysmorphism, postaxial polydactyly and other congenital abnormalities, suggestive of trisomy 13 (see this term)"
http://www.wikidata.org/entity/Q48969022,ZTTK syndrome,human disease
http://www.wikidata.org/entity/Q167868,Zamzam–Sheriff–Phillips syndrome,medical condition
http://www.wikidata.org/entity/Q8066470,Zapoy,Russian term for alcohol abuse
http://www.wikidata.org/entity/Q22978786,Zechi-Ceide Syndrome,rare disease
http://www.wikidata.org/entity/Q55788386,Zellweger-like syndrome without peroxisomal anomalies,
http://www.wikidata.org/entity/Q199295,Zieve's syndrome,medical condition
http://www.wikidata.org/entity/Q8072143,Zimmermann–Laband syndrome,"rare disorder characterized by gingival fibromatosis, coarse facial appearance, and absence or hypoplasia of nails or terminal phalanges of hands and feet"
http://www.wikidata.org/entity/Q8074613,Zou huo ru mo,chinese-culture concept
http://www.wikidata.org/entity/Q2849709,abandonment anxiety,
http://www.wikidata.org/entity/Q520720,abasiophilia,
http://www.wikidata.org/entity/Q319812,abetalipoproteinemia,Human disease
http://www.wikidata.org/entity/Q335941,aboulia,"absence of willpower or decisiveness, especially as a symptom of mental disorder"
http://www.wikidata.org/entity/Q4668562,aboulomania,behavioural disorder
http://www.wikidata.org/entity/Q1425065,absent-mindedness,inattentive or forgetful behavior
http://www.wikidata.org/entity/Q2258219,abuse of medicaments,repeated and inappropriate use of medicaments and/or folk remedies
http://www.wikidata.org/entity/Q2822642,acarophobia,fear of mites
http://www.wikidata.org/entity/Q337604,aceruloplasminemia,adult-onset disorder of neurodegeneration with brain iron accumulation
http://www.wikidata.org/entity/Q55788087,acitretin/etretinate embryopathy,
http://www.wikidata.org/entity/Q420339,acoasma,non verbal auditory hallucination
http://www.wikidata.org/entity/Q56333285,acousticophilia,a paraphilia in which gratification is derived from auditory stimulus
http://www.wikidata.org/entity/Q55346057,acquired Creutzfeldt-Jakob disease,human disease
http://www.wikidata.org/entity/Q55787932,acquired kinky hair syndrome,
http://www.wikidata.org/entity/Q4675304,acrocallosal syndrome,"syndrome that is an autosomal recessive disorder, which is characterized by corpus callosum agenesis, polydactyly, multiple dysmorphic features, motor and mental retardation"
http://www.wikidata.org/entity/Q55782856,acrocardiofacial syndrome,"Acro-cardio-facial syndrome (ACFS) is a rare genetic disorder characterized by split-hand/split-foot malformation (SHFM), facial anomalies, cleft lip/palate, congenital heart defect (CHD), genital anomalies, and intellectual deficit"
http://www.wikidata.org/entity/Q21154051,acrofacial dysostosis Rodriguez type,Human disease
http://www.wikidata.org/entity/Q21154052,"acrofacial dysostosis, Catania type",Human disease
http://www.wikidata.org/entity/Q56344846,acrophilia,
http://www.wikidata.org/entity/Q461925,acrotomophilia,
http://www.wikidata.org/entity/Q4677466,activation syndrome,form of stimulation or agitation that has been observed in association with some psychoactive drugs
http://www.wikidata.org/entity/Q15636221,acute aphasia,type of aphasia that usually develops quickly as a result of head injury or stroke
http://www.wikidata.org/entity/Q50349821,acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome,autosomal recessive cerebellar ataxia that has material basis in homozygous or compound heterozygous mutation in the SCYL1 gene on chromosome 11q13
http://www.wikidata.org/entity/Q18967729,acute psychogenic paranoid psychosis,Human disease
http://www.wikidata.org/entity/Q18967629,acute schizophrenic episode chronic state,Human disease
http://www.wikidata.org/entity/Q18967628,acute schizophrenic episode chronic state with acute exacerbation,Human disease
http://www.wikidata.org/entity/Q18966843,acute schizophrenic episode in remission,Human disease
http://www.wikidata.org/entity/Q18967627,acute schizophrenic episode subchronic state,Human disease
http://www.wikidata.org/entity/Q18966757,acute schizophrenic episode subchronic state with acute exacerbation,Human disease
http://www.wikidata.org/entity/Q424221,acute stress disorder,"psychological response to a terrifying, traumatic, or surprising experience"
http://www.wikidata.org/entity/Q18967156,acute stress reaction with predominant disturbance of consciousness,Human disease
http://www.wikidata.org/entity/Q18967391,acute undifferentiated schizophrenia,Human disease
http://www.wikidata.org/entity/Q3306774,addictive personality,set of personality traits that make an individual predisposed to developing addictions
http://www.wikidata.org/entity/Q317158,adjustment disorder,human disease
http://www.wikidata.org/entity/Q177809,adult Refsum disease,Human disease
http://www.wikidata.org/entity/Q3338664,adult-onset basal ganglia disease,Neuroferritinopathy is a late-onset type of neurodegeneration with brain iron accumulation (NBIA; see this term) characterized by progressive chorea or dystonia and subtle cognitive deficits
http://www.wikidata.org/entity/Q1125121,advanced sleep phase syndrome,sleep disorder that involves an altered circadian rhythm resulting in falling asleep in early evening and awaking very early in the morning
http://www.wikidata.org/entity/Q69880879,affective psychotic disorder,"Disorders in which the essential feature is a severe disturbance in mood (depression, anxiety, elation, and excitement) accompanied by psychotic symptoms such as delusions, hallucinations, gross impairment in reality testing, etc."
http://www.wikidata.org/entity/Q9089591,affective spectrum,Spectrum of mood disorders
http://www.wikidata.org/entity/Q30892488,afferent motor aphasia,
http://www.wikidata.org/entity/Q22906231,afrophobia,"fear of the cultures and peoples of Africa, as well as the African diaspora"
http://www.wikidata.org/entity/Q206716,agalmatophilia,Inanimate Object Love
http://www.wikidata.org/entity/Q55783750,agammaglobulinemia-microcephaly-craniosynostosis-severe dermatitis syndrome,
http://www.wikidata.org/entity/Q3357668,agnathia-otocephaly complex,Human disease
http://www.wikidata.org/entity/Q220322,agnosia,neurologic sensory disorder
http://www.wikidata.org/entity/Q3328200,agoraphilia,
http://www.wikidata.org/entity/Q174589,agoraphobia,phobic disorder involving the specific anxiety about being in a place or situation where escape is difficult or embarrassing or where help may be unavailable
http://www.wikidata.org/entity/Q2423084,agrammatism,non-fluent aphasia
http://www.wikidata.org/entity/Q395931,agraphia,disease that results in the loss of the ability to write
http://www.wikidata.org/entity/Q4694196,agrizoophobia,fear of wild animals
http://www.wikidata.org/entity/Q397554,agrypnia excitata,loss of sleep and motor and autonomic hyperactivity
http://www.wikidata.org/entity/Q55789862,agyria pachygyria polymicrogyria,"Cortical malformations characterized by no gyri, broad gyri and/or an excessive number of abnormally small gyri that result in an irregular cortical surface with lumpy aspect"
http://www.wikidata.org/entity/Q55789863,agyria-pachygyria type 1,
http://www.wikidata.org/entity/Q2268045,aichmophobia,fear of sharp objects
http://www.wikidata.org/entity/Q405385,ailurophobia,fear of cats
http://www.wikidata.org/entity/Q418509,akinetic abulic syndrome,
http://www.wikidata.org/entity/Q784564,akinetopsia,agnosia that is a loss of motion perception
http://www.wikidata.org/entity/Q7331102,alcohol abuse,substance abuse that involves the recurring use of alcoholic beverages despite negative consequences
http://www.wikidata.org/entity/Q45462238,alcohol amnestic disorder,"alcoholic psychosis with a combination of polyneuritis with memory span, including striking loss of recent memory, disordered time appreciation and confabulations"
http://www.wikidata.org/entity/Q4713253,alcohol and cancer,relationship between cancer and the consumption of alcohol
http://www.wikidata.org/entity/Q11290178,alcohol and health,Health effects of drinking alcohol
http://www.wikidata.org/entity/Q3683900,alcohol coma,
http://www.wikidata.org/entity/Q4713259,alcohol consumption by youth in the United States,
http://www.wikidata.org/entity/Q4713263,alcohol dependence,human disease
http://www.wikidata.org/entity/Q56317181,alcohol effects on circadian rhythm,
