disease_wiki_id,disease_name,description,drugs,symptoms,risk_factors
Q2563352,Wernicke–Korsakoff syndrome,combined presence of Wernicke's encephalopathy (WE) and Korsakoff's syndrome,,,
Q50349641,White-Sutton syndrome,An autosomal dominant non-syndromic intellectual disability that has material basis in an autosomal dominant mutation of POGZ on chromosome 1q21.3.,,,
Q48989140,Wieacker syndrome,medical condition,,,
Q3508774,Wiedemann-Rautenstrauch syndrome,"very rare disorder with features of premature aging recognizable at birth, decreased subcutaneous fat, hypotrichosis, relative macrocephaly and dysmorphism",,,
Q24975353,Wiedemann-Steiner syndrome,hereditary disease,,"['failure to thrive', 'hypertrichosis']",
Q74750128,Wikipedia addiction,,,,
Q8000937,Wild man syndrome,,,,
Q558077,Williams-Beuren syndrome,neurodevelopmental disorder,,['supravalvular aortic stenosis'],
Q117121,Wilson disease,multisystem disease due to abnormal accumulation of copper,"['D-penicillamine', 'triethylenetetramine']","['personality changes', 'blue nails', 'jaundice', 'face of the giant panda sign', 'edema']",
Q8023321,Wilson–Turner syndrome,Human disease,,,
Q127770,Witzelsucht,Human neurological disorder,,,
Q8032762,Woodhouse–Sakati syndrome,"Woodhouse-Sakati syndrome is a multisystemic disorder characterized by hypogonadism, alopecia, diabetes mellitus, intellectual deficit and extrapyramidal signs with choreoathetoid movements and dystonia",,,
Q55782493,X-linked cerebral-cerebellar-coloboma syndrome syndrome,human disease,,,
Q55782500,X-linked colobomatous microphthalmia-microcephaly-intellectual disability-short stature syndrome,human disease,,,
Q55787872,X-linked congenital disorder of glycosylation with intellectual disability as a major feature,human disease,,,
Q55782492,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type","X-linked dominant chondrodysplasia Chassaing-Lacombe type is a rare genetic bone disorder characterized by chondrodysplasia, intrauterine growth retardation (IUGR), hydrocephaly and facial dysmorphism in the affected males",,,
Q55782450,X-linked epilepsy-learning disabilities-behavior disorders syndrome,human disease,,,
Q55788367,X-linked female restricted facial dysmorphism-short stature-choanal atresia-intellectual disability,human disease,,,
Q102296711,X-linked intellectual developmental disorder 108,human disease,,,
Q25381003,X-linked lissencephaly with abnormal genitalia,,,"['ambiguous genitalia', 'lissencephaly']",
Q55782534,X-linked mandibulofacial dysostosis,,,,
Q54553054,X-linked mental retardation 1,,,,
Q54319961,X-linked mental retardation 102,"An inherited condition caused by mutation(s) in the DDX3X gene, encoding ATP-dependent RNA helicase DDX3X. It is characterized by severe intellectual disability and variable neurologic features.",,,
Q53660494,X-linked mental retardation 106,human disease,,,
Q55373611,X-linked mental retardation with cerebellar hypoplasia and distinctive facial appearance,"X-linked intellectual deficit-cerebellar hypoplasia, also known as OPHN1 syndrome, is a rare syndromic form of cerebellar dysgenesis characterized by moderate to severe intellectual deficit and cerebellar abnormalities",,,
Q55788185,X-linked microcephaly-growth retardation-prognathism-cryptorchidism syndrome,human disease,,,
Q55346080,"X-linked neurodegenerative syndrome, Bertini type",,,,
Q55346081,"X-linked neurodegenerative syndrome, Hamel type",,,,
Q55345743,X-linked progressive cerebellar ataxia,human disease,,,
Q55788635,X-linked recessive intellectual disability-macrocephaly-ciliary dysfunction syndrome,"gene, known to be involved in oral-facial-digital syndrome",,,
Q8042637,XXXY syndrome,"The 48,XXXY syndrome represents a chromosomal anomaly of the aneuploidic type characterized by the presence of two extra X chromosomes in males",,,
Q55787839,XYLT1-CDG,human disease,,,
Q106311469,XYYY syndrome,chromosomal disorder,,,
Q25111656,Xia-Gibbs Syndrome,An autosomal dominant non-syndromic intellectual disability that has material basis in an autosomal dominant mutation of AHDC1 on chromosome 1p36.1-p35.3.,,,
Q55786961,Xp22.13p22.2 duplication syndrome,human disease,,,
Q55787377,Xq12-q13.3 duplication syndrome,,,,
Q1408567,Xylophagia,form of pica,,,
Q8058422,Young-Simpson syndrome,Human disease,,['petoze'],
Q17155571,Young–Madders syndrome,"Holoprosencephaly-postaxial polydactyly syndrome associates, in chromosomally normal neonates, holoprosencephaly, severe facial dysmorphism, postaxial polydactyly and other congenital abnormalities, suggestive of trisomy 13 (see this term)",,,
Q48969022,ZTTK syndrome,human disease,,,
Q167868,Zamzam–Sheriff–Phillips syndrome,medical condition,,,
Q8066470,Zapoy,Russian term for alcohol abuse,,,
Q22978786,Zechi-Ceide Syndrome,rare disease,,,
Q55788386,Zellweger-like syndrome without peroxisomal anomalies,,,,
Q199295,Zieve's syndrome,medical condition,,"['abdominal pain', 'hyperlipoproteinemia', 'jaundice', 'hemolytic anemia']",
Q8072143,Zimmermann–Laband syndrome,"rare disorder characterized by gingival fibromatosis, coarse facial appearance, and absence or hypoplasia of nails or terminal phalanges of hands and feet",,,
Q8074613,Zou huo ru mo,chinese-culture concept,,,
Q2849709,abandonment anxiety,,,,
Q520720,abasiophilia,,,,
Q319812,abetalipoproteinemia,Human disease,,,
Q335941,aboulia,"absence of willpower or decisiveness, especially as a symptom of mental disorder",,,
Q4668562,aboulomania,behavioural disorder,,['indecision'],
Q1425065,absent-mindedness,inattentive or forgetful behavior,,,
Q2258219,abuse of medicaments,repeated and inappropriate use of medicaments and/or folk remedies,,,
Q2822642,acarophobia,fear of mites,,,
Q337604,aceruloplasminemia,adult-onset disorder of neurodegeneration with brain iron accumulation,,,
Q55788087,acitretin/etretinate embryopathy,,,,
Q420339,acoasma,non verbal auditory hallucination,,,
Q56333285,acousticophilia,a paraphilia in which gratification is derived from auditory stimulus,,,
Q55346057,acquired Creutzfeldt-Jakob disease,human disease,,,
Q55787932,acquired kinky hair syndrome,,,,
Q4675304,acrocallosal syndrome,"syndrome that is an autosomal recessive disorder, which is characterized by corpus callosum agenesis, polydactyly, multiple dysmorphic features, motor and mental retardation",,,
Q55782856,acrocardiofacial syndrome,"Acro-cardio-facial syndrome (ACFS) is a rare genetic disorder characterized by split-hand/split-foot malformation (SHFM), facial anomalies, cleft lip/palate, congenital heart defect (CHD), genital anomalies, and intellectual deficit",,,
Q21154051,acrofacial dysostosis Rodriguez type,Human disease,,,
Q21154052,"acrofacial dysostosis, Catania type",Human disease,,,
Q56344846,acrophilia,,,,
Q461925,acrotomophilia,,,,
Q4677466,activation syndrome,form of stimulation or agitation that has been observed in association with some psychoactive drugs,,,
Q15636221,acute aphasia,type of aphasia that usually develops quickly as a result of head injury or stroke,,,
Q50349821,acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome,autosomal recessive cerebellar ataxia that has material basis in homozygous or compound heterozygous mutation in the SCYL1 gene on chromosome 11q13,,,
Q18967729,acute psychogenic paranoid psychosis,Human disease,,,
Q18967629,acute schizophrenic episode chronic state,Human disease,,,
Q18967628,acute schizophrenic episode chronic state with acute exacerbation,Human disease,,,
Q18966843,acute schizophrenic episode in remission,Human disease,,,
Q18967627,acute schizophrenic episode subchronic state,Human disease,,,
Q18966757,acute schizophrenic episode subchronic state with acute exacerbation,Human disease,,,
Q424221,acute stress disorder,"psychological response to a terrifying, traumatic, or surprising experience",,,
Q18967156,acute stress reaction with predominant disturbance of consciousness,Human disease,,,
Q18967391,acute undifferentiated schizophrenia,Human disease,,,
Q3306774,addictive personality,set of personality traits that make an individual predisposed to developing addictions,,,
Q317158,adjustment disorder,human disease,,,
Q177809,adult Refsum disease,Human disease,,,
Q3338664,adult-onset basal ganglia disease,Neuroferritinopathy is a late-onset type of neurodegeneration with brain iron accumulation (NBIA; see this term) characterized by progressive chorea or dystonia and subtle cognitive deficits,,,
Q1125121,advanced sleep phase syndrome,sleep disorder that involves an altered circadian rhythm resulting in falling asleep in early evening and awaking very early in the morning,,,
Q69880879,affective psychotic disorder,"Disorders in which the essential feature is a severe disturbance in mood (depression, anxiety, elation, and excitement) accompanied by psychotic symptoms such as delusions, hallucinations, gross impairment in reality testing, etc.",,,
Q9089591,affective spectrum,Spectrum of mood disorders,,,
Q30892488,afferent motor aphasia,,,,
Q22906231,afrophobia,"fear of the cultures and peoples of Africa, as well as the African diaspora",,,
Q206716,agalmatophilia,Inanimate Object Love,,,
Q55783750,agammaglobulinemia-microcephaly-craniosynostosis-severe dermatitis syndrome,,,,
Q3357668,agnathia-otocephaly complex,Human disease,,,
Q220322,agnosia,neurologic sensory disorder,,,
Q3328200,agoraphilia,,,,
Q174589,agoraphobia,phobic disorder involving the specific anxiety about being in a place or situation where escape is difficult or embarrassing or where help may be unavailable,['alprazolam'],,
Q2423084,agrammatism,non-fluent aphasia,,,
Q395931,agraphia,disease that results in the loss of the ability to write,,,
Q4694196,agrizoophobia,fear of wild animals,,,
Q397554,agrypnia excitata,loss of sleep and motor and autonomic hyperactivity,,,
Q55789862,agyria pachygyria polymicrogyria,"Cortical malformations characterized by no gyri, broad gyri and/or an excessive number of abnormally small gyri that result in an irregular cortical surface with lumpy aspect",,,
Q55789863,agyria-pachygyria type 1,,,,
Q2268045,aichmophobia,fear of sharp objects,,,
Q405385,ailurophobia,fear of cats,,,
Q418509,akinetic abulic syndrome,,,,
Q784564,akinetopsia,agnosia that is a loss of motion perception,,,
Q7331102,alcohol abuse,substance abuse that involves the recurring use of alcoholic beverages despite negative consequences,"['naltrexone', '(RS)-citalopram', 'disulfiram', 'chlordiazepoxide', 'ondansetron']",,
Q45462238,alcohol amnestic disorder,"alcoholic psychosis with a combination of polyneuritis with memory span, including striking loss of recent memory, disordered time appreciation and confabulations",,"['fixation amnesia', 'confabulation', 'polyneuritis']",
Q4713253,alcohol and cancer,relationship between cancer and the consumption of alcohol,,,
Q11290178,alcohol and health,Health effects of drinking alcohol,,,
Q3683900,alcohol coma,,,,
Q4713259,alcohol consumption by youth in the United States,,,,
Q4713263,alcohol dependence,human disease,,,
Q56317181,alcohol effects on circadian rhythm,,,,
Q15847787,alcohol enema,injection of ethyl alcohol into the rectum for absorption,,,
Q750343,alcohol flush reaction,condition in which a person develops flushes or blotches,,,
Q16496265,alcohol poisoning,,,,
Q16002420,alcohol use among college students,alcohol consumption by students,,,
Q2832218,alcohol use among college students in France,,,,
Q39088416,alcohol use during pregnancy,Toxic effects of alcohol consumption during pregnancy on a fetus,,,
Q1345798,alcohol withdrawal seizure,seizures that occur in association with ethanol abuse without other identifiable causes,,,
Q2914873,alcohol withdrawal syndrome,A set of symptoms that can occur after a reduction in alcohol use after excessive use,['(RS)-baclofen'],,
Q18555102,alcohol-induced mental disorder,nental and behavioural disorders due to use of alcohol,,,
Q4062514,alcohol-induced psychotic disorder,organic psychotic states due mainly to excessive consumption of alcoholic beverages,,['hallucination'],
Q18553388,alcohol-related birth defect,"fetal alcohol spectrum disorder that results in damage to organs, bones, or muscles due to prenatal alcohol exposure",,,
Q18205193,alcohol-related brain damage,toxic effects on the brain from use of alcohol,,,
Q56014553,alcohol-related disorders,disorders related to or resulting from abuse or mis-use of alcohol,,,
Q18553387,alcohol-related neurodevelopmental disorder,human disease,,,
Q97999977,alcoholic Korsakoff syndrome,"neurological disorder with inattentiveness and the inability to form short term memories, caused by thiamine deficiency due to chronic alcoholism",,,
Q2305174,alcoholic cardiomyopathy,"disease in which the chronic long-term abuse of alcohol (i.e., ethanol) leads to heart failure",,,
Q18816398,alcoholic cerebellar degeneration,,,,
Q110572881,alcoholic deterioration,,,,
Q25416562,alcoholic fatty liver,lipid infiltration of the hepatic parenchymal cells that is due to alcohol abuse,,,
Q18557999,alcoholic gastritis,human disease,,,
Q1040275,alcoholic hallucinosis,type of hallucinosis (pseudo-hallucination),,,
Q3144986,alcoholic hepatitis,hepatitis (inflammation of the liver) due to excessive intake of alcohol,,,
Q6470994,alcoholic liver cirrhosis,Human disease,,,
Q558404,alcoholic liver disease,medical condition,,"['jaundice', 'nausea']",
Q4713328,alcoholic lung disease,Human disease,,,
Q11781606,alcoholic myopathy,,,,
Q4062508,alcoholic neuropathy,Human disease,"['thiamine(1+) ion', 'hydroxocobalamin', 'cyanocobalamin']",,
Q4062516,alcoholic palimpsest,acute anterograde amnesia which occurs in the course of chronic alcoholism,,,
Q18556573,alcoholic pancreatitis,human disease,,,
Q28501397,alcoholic paranoid,chronic paranoid psychosis associated with alcoholism,,,
Q15326,alcoholism,broad term for problems with alcohol,,,
Q2647480,alcoholism in adolescence,overview of alcoholism in adolescence,,,
Q16543572,alcoholism in adolescence in France,,,,
Q1129046,alexithymia,"subclinical deficiency in understanding, processing, or describing emotions",,,
Q1570503,algolagnia,pleasure from pain,,,
Q2649390,allolalia,speech disorder resulting from cerebral damage,,,
Q3612627,allomnesia,deformation of actual memories,,,
Q1484024,alogia,"negative symptom, restriction in the amount of spontaneous speech",,,
Q55780307,alopecia-epilepsy-pyorrhea-intellectual disability syndrome,,,,
Q55781640,alopecia-intellectual disability syndrome,human disease,,,
Q102293819,alopecia-mental retardation syndrome 1,human disease,,,
Q55999861,alopecia-mental retardation syndrome 2,human disease,,,
Q56002749,alopecia-mental retardation syndrome 3,human disease,,,
Q111042737,alopecia-mental retardation syndrome 4,human disease,,,
Q25377826,alternative psychosis,,,['Forced normalization'],
Q5916945,altitude insomnia,,,,
Q18209225,alvinolagnia,belly or midriff fetish,,,
Q1131359,amaxophobia,fear of riding in a vehicle,,,
Q462833,amentia,"state of acute hallucinatory confusion, characterised by disordered level of consciousness",,"['disorientation', 'hallucination', 'delusion', 'amnesia', 'perplexity']",
Q55785873,aminopterin/methotrexate embryofetopathy,,,,
Q11072,amnesia,"cognitive disorder where the memory is disturbed or lost and involves the loss of memories previously established, loss of the ability to create new memories, continuous high blood pressure and severe shock may also caused amnesia","['memantine', 'piracetam', 'donepezil']",['memory loss'],
Q2914153,amotivational syndrome,impairements associated with cannabis use,,,
Q4748162,amphetamine dependence,state of psychological dependence on a drug in the amphetamine class,,,
Q18557338,amphetamine-related disorders,negative health consequences of substance abuse that involves the recurring use of amphetamines,,,
Q481787,amusia,"agnosia that is a loss of the ability to recognize musical notes, rhythms, and intervals",,,
Q3705268,amyotrophic lateral sclerosis and frontotemporal dementia,clinic-pathological entity that can be framed within frontotemporal dementia,,,
Q22906361,anabolic-androgenic steroids abuse,,,,
Q3044887,anaclitic depression,,,,
Q486058,anaphrodisia,human disease,,,
Q486445,anarthria,,,,
Q6017136,anatidaephobia,humorous fear of ducks,,,
Q2028822,androphobia,abnormal fear of men,,,
Q944108,animal phobia,specific phobia that involves a fear caused by the presence or thought of a specific animal that poses little or no danger at all,,,
Q4765258,aniridia ataxia renal agenesis psychomotor retardation,medical condition,,,
Q55785319,aniridia-intellectual disability syndrome,,,,
Q55785318,aniridia-ptosis-intellectual disability-familial obesity syndrome,,,,
Q567576,anomic aphasia,type of aphasia,,,
Q567713,anorexia mirabilis,"religious fasting to the point of starvation, particularly of women and girls of the Middle Ages",,,
Q131749,anorexia nervosa,type of eating disorder,"['norethandrolone', 'tetrahydrocannabinol']",,
Q1772397,anorgasmia,type of sexual dysfunction in which a person cannot achieve orgasm despite adequate stimulation,,,
Q567869,anosognosia,"Unawareness of one's own illness, symptoms or impairments",,,
Q3048964,antabuse effect,group of medical symptoms,,,
Q572111,anterograde amnesia,loss of the ability to create new memories after the onset of amnesia,,,
Q574485,anthropophobia,,,,
Q18554152,antidepressant abuse,substance abuse that involves the recurring use of antidepressant drugs despite negative consequences,,,
Q118418,antisocial personality disorder,Personality disorder that involves a pervasive pattern of disregard for other people,['antipsychotics'],"['anti-social behaviour', 'irritability', 'violence', 'fraud', 'impulsivity']",
Q154430,anxiety,"unpleasant complex combination of emotions that includes fear, apprehension and worry, and is often accompanied by physical sensations such as palpitations, nausea, chest pain and/or shortness of breath","['vilazodone', 'zolpidem', 'clonazepam', 'fluoxetine', 'diazepam', 'quetiapine', 'olanzapine', 'venlafaxine', 'pregabalin', '(S)-duloxetine', '(RS)-citalopram', 'desvenlafaxine', 'bupropion', 'gabapentin', 'mirtazapine', 'lurasidone', 'buspirone', 'sertraline', 'lamotrigine', 'vortioxetine', 'propranolol', 'alprazolam', 'risperidone', 'atomoxetine', 'paroxetine', 'ziprasidone', 'escitalopram', '(RS)-hydroxyzine', 'aripiprazole', 'haloperidol', 'lorazepam', 'brexpiprazole', 'trazodone']","['tachycardia', 'nausea', 'vomiting', 'vertigo', 'depersonalization', 'disorientation', 'derealization']",
Q16054607,anxiety,unpleasant state of inner turmoil,,,
Q544006,anxiety disorder,"cognitive disorder with an excessive, irrational dread of everyday situations","['fluoxetine', 'maprotiline', 'clorazepic acid', 'halazepam', 'mirtazapine', '(S)-duloxetine', '(RS)-citalopram', 'buspirone', 'bromodiphenhydramine', 'risperidone', 'chlordiazepoxide', 'propranolol', 'venlafaxine', 'diazepam', 'amobarbital', 'olanzapine', 'levomepromazine', '(RS)-hydroxyzine', 'nortriptyline', 'midazolam', 'fluvoxamine', 'quetiapine', 'escitalopram', 'meprobamate', 'cidoxepin', 'temazepam', 'lorazepam', 'sertraline', 'clonazepam', 'prazepam', 'chlormezanone', 'paroxetine', 'chlorpromazine', 'oxazepam', 'alprazolam', 'pregabalin', 'prochlorperazine']",,
Q3347244,anxiety neurosis,,,,
Q55780338,aortic arch anomaly-facial dysmorphism-intellectual disability syndrome,medical condition,,,
Q309406,apathy,state of indifference or the suppression of emotions; lack of interest or enthusiasm,,,
Q46545345,apathy-aboulia syndrome,"psychopathological syndrome, characterised by apathy and aboulia, occurring in schizophrenia or after a brain damage",['mesocarb'],['avolition'],
Q2836,aphasia,inability to use spoken language,,['muteness'],
Q12300636,aphemia,Type of aphasia,,,
Q514686,aphonia,medical condition leading to loss of voice,,,
Q55787565,aphonia-deafness-retinal dystrophy-bifid halluces-intellectual disability syndrome,human disease,,,
Q30918966,aphrodisia,,,,
Q1859754,apperceptive agnosia,agnosia that is a loss of the ability to distinguish visual shapes,,,
Q58145981,apragmatism,state of inactivity caused by schizophrenia or severe depression,,,
Q498916,apraxia,agnosia that is a loss of the ability to map out physical actions in order to repeat them in functional activities,,,
Q2859168,aquaphilia,form of sexual fetishism,,,
Q55785348,arachnodactyly-abnormal ossification-intellectual disability syndrome,,,,
Q220783,arachnophobia,fear of spiders and other arachnids,,,
Q55789813,arena syndrome,human disease,,,
Q748104,arithmomania,mental disorder whereby someone has a strong need to count their actions or nearby objects,,,
Q12230347,armpit fetishism,partialism in which an individual is sexually attracted to armpits,,,
Q5832715,army disease,opiate addiction  during American Civil War,,,
Q4795924,arrested development,psychological disorder,,,
Q18556221,articulation disorder,"speech disorder that involves mispronouncing speech sounds by omitting, distorting, substituting, or adding sounds which can make speech difficult to understand",,,
Q3625125,asemia,Inability to understand or express any signs or symbols,,,
Q2254511,associative agnosia,agnosia that is a loss of the ability to recognize visual scenes or classes of objects but retain the abilty to describe them,,,
Q739221,astereognosia,"agnosia that is the loss of the ability to recognize objects by touch based on its texture, size and weight",,,
Q9169874,asymptomatic neurosyphilis,,,,
Q18553767,asymptomatic neurosyphilis,tertiary neurosyphilis that results in mild meningitis,,['meningitis'],
Q4071950,atactic thinking,schizophrenic thought disorder,,,
Q387082,ataxia telangiectasia,"a rare, neurodegenerative, autosomal recessive human disease causing severe disability",,['thymic hypoplasia'],
Q55346098,ataxia with dementia,human disease,,,
Q18553452,ataxia with oculomotor apraxia type 1,"Ataxia with oculomotor apraxia type 1 (AOA1) is a rare autosomal recessive cerebellar ataxia (ARCA; see this term), characterized by progressive cerebellar ataxia associated with oculomotor apraxia, severe neuropathy, and hypoalbuminemia",,,
Q26492776,ataxia with oculomotor apraxia type 3,human disease,,,
Q55784818,ataxia-intellectual disability-oculomotor apraxia-cerebellar cysts syndrome,,,,
Q55345892,ataxia-oculomotor apraxia type 4,human disease,,,
Q55785354,ataxia-photosensitivity-short stature syndrome,human disease,,,
Q56014123,ataxia-telangiectasia variant,,,,
Q55345692,ataxia-telangiectasia with generalized skin pigmentation and early death,human disease,,,
Q55345773,ataxia-telangiectasia-like disorder,"An autosomal recessive condition caused by mutation(s) in the MRE11A gene, encoding double-strand break repair protein MRE11. It is characterized by progressive cerebellar degeneration resulting in ataxia and oculomotor apraxia.",,,
Q18553377,atelosteogenesis,human disease,,,
Q49970049,atelosteogenesis type I,disease,,,
Q2870197,atelosteogenesis type II,medical condition,,,
Q4815725,athymhormic syndrome,Rare psychological or neurological condition,,,
Q4072248,atremia,,,,
Q3540868,attachment disorder,"mental health disorders caused by abnormal or lack of social contact or good socializing, disability in managing intimidation, bullying, abuse.",,,
Q67198812,attention deficit and disruptive behavior disorders,neurodevelopmental disorder including two similar disorders: oppositional defiant disorder and conduct disorders,,,
Q36941615,attention deficit disorder,,,,
Q181923,attention deficit hyperactivity disorder,range of neurodevelopmental conditions,"['pemoline', 'venlafaxine', 'dextroamphetamine', 'atomoxetine', 'imipramine', 'methylphenidate', 'DL-amphetamine', 'guanfacine', 'desipramine', 'D-methamphetamine', 'modafinil', '(±)-deprenyl', 'dexmethylphenidate', 'bupropion', 'nortriptyline', 'clonidine', '(R)-amphetamine']","['rejection sensitive dysphoria', 'impulsivity', 'emotional dysregulation', 'executive dysfunction', 'hyperfocus']",
Q2156290,atychiphobia,,,,
Q56014032,atypical Rett syndrome,Atypical Rett syndrome (atypical RTT) is a neurodevelopmental disorder that is diagnosed when a child presents with a Rett-like syndrome but does not fulfill all the diagnostic criteria for typical Rett syndrome (classic/typical RTT; see this term),,,
Q9162871,atypical autism,autism spectrum disorder that involves some autistic symptoms occuring after age 3 with an abscence of all the traits necessary for a diagnosis of autism,,,
Q2657784,atypical depressive disorder,depression characterized by improved mood in response to positive events,,"['paralysis', 'hypersomnia']",
Q18967557,atypical manic disorder,Human disease,,,
Q55345950,atypical pantothenate kinase-associated neurodegeneration,human disease,,,
Q55346109,atypical progressive supranuclear palsy syndrome,,,,
Q24886208,atypical psychosis,,,,
Q10601887,atypical scrapie,prion disease of small ruminants,,,
Q1511436,auditory agnosia,agnosia that is a loss of the ability to distinguishing environmental and non-verbal auditory cues including difficulty distinguishing speech from non-speech sounds even though hearing is usually normal,,,
Q1054088,auditory hallucination,"Hearing sounds without finding external stimuli, but having the characteristic of actually hearing sounds",,,
Q739481,aura,eye disturbance with/without headache,,,
Q4825823,autagonistophilia,paraphilia involving being observed,,,
Q784428,autassassinophilia,Sexual arousal from the risk of being killed,,,
Q38404,autism,neurodevelopmental condition,"['risperidone', 'venlafaxine', '(RS)-fenfluramine', 'quetiapine']","['sincerity', 'stimming', 'hyperfocus', 'executive dysfunction', 'autistic special interest', 'echolalia', 'autistic meltdown', 'toe walking', 'sensory processing disorder', 'social communication disorder']",
Q1436063,autism spectrum disorder,range of neurodevelopmental disorders,,,
Q55784749,autism spectrum disorder-epilepsy-arthrogryposis syndrome,(1p21),,,
Q55785384,autism-facial port-wine stain syndrome,This syndrome is characterised by the presence of a unilateral angioma on the face and autistic developmental problems characterised by language delay and atypical social interactions,,,
Q23808084,autistic catatonia,mental illness,,,
Q72423832,autistic meltdown,involuntary emotional breakdown in an autistic person caused by severe stress,,,
Q24951653,autistic savant,,,,
Q67135649,autistic special interest,narrow and passionate interest experienced by autistic people that can spark positive feelings,,,
Q9638726,autoandrophilia,paraphilic tendency to be sexually aroused by the thought or image of oneself as a male or more masculine,,,
Q782444,autogynephilia,man's paraphilic tendency to be sexually aroused by the thought or image of himself as a woman,,,
Q787420,automation disorder,health problem,,,
Q102296249,autosomal dominant Aarskog syndrome,human disease,,,
Q622925,Vestibulocerebellar syndrome,medical condition,,,
Q19587382,autosomal dominant non-syndromic intellectual disability,non-syndromic intellectual disability characterized by an autosomal dominant inheritance pattern,,,
Q3589157,autosomal dominant nocturnal frontal lobe epilepsy,frontal lobe epilepsy that is characterized by autosomal dominant inheritance with childhood onset of clusters of brief nocturnal motor seizures with hyperkinetic or tonic manifestations,,,
Q32136892,autosomal recessive Parkinson disease 14,"Adult-onset dystonia-parkinsonism is a rare neurodegenerative disease usually presenting before the age of 30 and which is characterized by dystonia, L-dopa-responsive parkinsonism, pyramidal signs and rapid cognitive decline",,,
Q55345810,"autosomal recessive ataxia, Beauce type",gene mutations,,,
Q4826996,autosomal recessive cerebellar ataxia,hereditary ataxia that has material basis in autosomal recessive inheritance,,,
Q32143448,autosomal recessive complex spastic paraplegia type 9B,human disease,,,
Q55346091,autosomal recessive congenital cerebellar ataxia,human disease,,,
Q55346094,autosomal recessive degenerative and progressive cerebellar ataxia,human disease,,,
Q55783738,autosomal recessive frontotemporal pachygyria,human disease,,,
Q102295570,autosomal recessive intellectual developmental disorder-72,human disease,,,
Q27429766,autosomal recessive limb-girdle muscular dystrophy,limb-girdle muscular dystrophy has material basis in autosomal recessive inheritance,,,
Q55395649,autosomal recessive mental retardation-34 with variant lissencephaly,human disease,,,
Q55346092,autosomal recessive metabolic cerebellar ataxia,human disease,,,
Q19587384,autosomal recessive non-syndromic intellectual disability,human disease,,,
Q55346010,autosomal recessive spastic ataxia,Autosomal recessive form of spastic ataxia,,,
Q55346095,autosomal recessive syndromic cerebellar ataxia,human disease,,,
Q4827018,autotopagnosia,form of agnosia,,,
Q4827032,autovampirism,"a form of vampirism that refers to drinking one's own blood, typically as a form of sexual gratification",,['self-injury'],
Q509122,avoidant personality disorder,severe form of social anxiety,,['avoidance coping'],
Q7447762,avoidant/restrictive food intake disorder,eating disorder,,,
Q3058278,balloon fetish,fetish revolving balloons,,,
Q4261984,barbiturate dependence,drug dependence that involves the continued use of barbiturates despite problems related to use of the substance,,,
Q1184752,barbiturate overdose,medical condition,,,
Q12081209,battology,"continual unnecessary reiteration of the same words, phrases, or ideas",,,
Q4362373,beer alcoholism,,,,
Q1513352,behavioral addiction,"form of addiction that involves a compulsion to engage in a rewarding non-drug-related behavior despite any negative consequences to the person's physical, mental, social or financial well-being",,,
Q1815366,behavioral disorder,,,,
Q2769397,behavioral disorder associated with intellectual disabilities,,,,
Q3508799,behavioral phenotypes in genetic syndromes,,,,
Q55345980,behavioral variant of frontotemporal dementia,"Behavioral variant of frontotemporal dementia (bv-FTD) is a form of frontotemporal dementia (FTD; see this term), characterized by progressive behavioral impairment and a decline in executive function with frontal lobe-predominant atrophy",,,
Q28130457,belief perseverance,maintaining or even strengthening a belief despite new contradictory information,,,
Q9347500,belle indifférence hystérique,,,,
Q15043325,benzodiazepine abuse,"the use of benzodiazepines without a prescription, often for recreational purposes, which poses risks of dependence, withdrawal and other long-term effects",,,
Q380409,benzodiazepine dependence,"one or more of either tolerance, withdrawal symptoms, drug seeking behaviors, such as continued use despite harmful effects, and maladaptive pattern of substance use, according to the DSM-IV",,,
Q6119887,benzodiazepine withdrawal syndrome,signs and symptoms due to benzodiazepines discontinuation in physically dependent persons,,,
Q830532,bestiality,"practice of sexual activity between humans and non-human animals, criminalised in many jurisdictions and of dubious ethics",,,
Q9169656,betacism,,,,
Q1290895,biastophilia,"paraphilia in which sexual arousal is dependent on, or is responsive to, the act of assaulting an unconsenting person",,,
Q856396,bibliomania,mania,,,
Q1521260,binge drinking,modern epithet for drinking alcoholic beverages with an intention of becoming intoxicated by heavy consumption of alcohol over a short period of time,,,
Q209522,binge-eating disorder,"eating disorder characterized by frequent and recurrent binge eating episodes with associated negative psychological and social problems, but without subsequent purging episodes",,['binge eating'],
Q4915474,bipolar I disorder,bipolar disorder that is characterized by at least one manic or mixed episode,"['(R,R)-asenapine', 'cariprazine', 'risperidone']",,
Q71263784,bipolar and related disorders,disorders related to both the schizophrenia spectrum and depressive disorders,,,
Q56014658,bipolar depression,The depressive stage of bipolar disorder,,,
Q131755,bipolar disorder,human mental illness characterized by mood changes,"['olanzapine', 'lamotrigine', 'risperidone', 'lithium compounds', 'valproic acid', 'topiramate', 'transclopenthixol', 'carbamazepin', 'tiagabine', 'quetiapine', 'clonazepam', 'clozapine', 'gabapentin']","['hypersexuality', 'insomnia', 'mood swing', 'fatigue', 'mental depression', 'psychomotor agitation', 'mania', 'hallucination', 'hypersomnia', 'anhedonia', 'delusion', 'hypomania', 'aphasia']",
